Voucher Type,ID,state_name,Zone,Branch_name,Route,PartyName,CategoryName,PaymentType,CreatedDate,VoucherDate,VoucherNo,Bill Type,Salesman,Taxable,CGST,SGST,IGST,VoucherAMT,Discount,Realisable amount,RecieveAMT,Differance,RMODE,GroupName,ItemCOde,TaxPerc,qty,Freeqty ,TotalAmt,FreeAmount,Rate,DiscAmount,Helper 1,KL MT OUTLETS,TN MT OUTLETS,Category,NEW SKU,Division,Customer name,District for milk,District for Dashboard,ZONE FOR MT ,GROUPING FOR ITEM,Column1
Sales,7420832,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,POOVAR,101JAYA CHAYAKADA,MILK KL,CASH PAYMENT,19-07-2023,01-08-2025,NSPR7089/25,B2C,KAMALAS,281,7.03,7.03,0,295,0,295,295,0,Cash,001 FG CURD,PC475,5,10,0,281,0,28.1,0,101JAYA CHAYAKADA001 FG CURD,,,,YES,Not in Master,,,,,,
Sales,7428327,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,KATTAKADA,101KAILASAM HOTEL,MILK KL,CASH PAYMENT,24-06-2024,01-08-2025,NSKD19514/25,B2C,BINEESH,1442.66,22.58,22.58,0,1488,0,1488,970,518,Cash,000FG MILK,SM 900,0,18,0,1000.8,0,55.6,0,101KAILASAM HOTEL000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7428327,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,KATTAKADA,101KAILASAM HOTEL,MILK KL,CASH PAYMENT,24-06-2024,01-08-2025,NSKD19514/25,B2C,BINEESH,1442.66,22.58,22.58,0,1488,0,1488,970,518,Cash,001 FG CURD,PC475,5,4,0,112.4,0,28.1,0,101KAILASAM HOTEL001 FG CURD,,,,YES,Not in Master,,,,,,
Sales,7428327,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,KATTAKADA,101KAILASAM HOTEL,MILK KL,CASH PAYMENT,24-06-2024,01-08-2025,NSKD19514/25,B2C,BINEESH,1442.66,22.58,22.58,0,1488,0,1488,970,518,Cash,FG GHEE,G 500,12,1,0,329.46,0,329.46,0,101KAILASAM HOTELFG GHEE,,,,NO,Not in Master,,,,,,
Sales,7429461,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,BALARAMAPURAM,101KJ STR,MILK KL,CASH PAYMENT,20-12-2021,01-08-2025,NSBM32922/25,B2C,MANU  M,387,0,0,0,387,0,387,387,0,Cash,000FG MILK,CM 475,0,15,0,387,0,25.8,0,101KJ STR000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7422326,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,PALIYODE,101KRIPA STORE,MILK KL,CASH PAYMENT,15-02-2024,01-08-2025,NSPD9215/25,B2C,SATHEESH R,154.8,0,0,0,155,0,155,155,0,Cash,000FG MILK,CM 475,0,6,0,154.8,0,25.8,0,101KRIPA STORE000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7428329,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,KATTAKADA,101KRISHNA BAKERY,MILK KL,CASH PAYMENT,24-06-2024,01-08-2025,NSKD19516/25,B2C,BINEESH,114.3,2.86,2.86,0,120,0,120,120,0,Cash,4FG AGRO,HCC 10,5,3,0,114.3,0,38.1,0,101KRISHNA BAKERY4FG AGRO,,,,NO,Not in Master,,,,,,
Sales,7429514,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,BALARAMAPURAM,101KSR,MILK KL,CASH PAYMENT,27-06-2023,01-08-2025,NSBM32971/25,B2C,MANU  M,281,7.03,7.03,0,295,0,295,295,0,Cash,001 FG CURD,PC475,5,10,0,281,0,28.1,0,101KSR001 FG CURD,,,,YES,Not in Master,,,,,,
Sales,7422311,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,PALIYODE,101KUTTANADAN CHILLES,MILK KL,CASH PAYMENT,14-02-2024,01-08-2025,NSPD9200/25,B2C,SATHEESH R,926,7.03,7.03,0,940,0,940,0,940,,000FG MILK,CM 475,0,25,0,645,0,25.8,0,101KUTTANADAN CHILLES000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7422311,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,PALIYODE,101KUTTANADAN CHILLES,MILK KL,CASH PAYMENT,14-02-2024,01-08-2025,NSPD9200/25,B2C,SATHEESH R,926,7.03,7.03,0,940,0,940,0,940,,001 FG CURD,PC475,5,10,0,281,0,28.1,0,101KUTTANADAN CHILLES001 FG CURD,,,,YES,Not in Master,,,,,,
Sales,7420842,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,POOVAR,101LEELA RESORT,MILK KL,BILL TO BILL,10-08-2024,01-08-2025,NSPR7099/25,B2C,KAMALAS,76.2,1.91,1.91,0,80,0,80,80,0,Cash,4FG AGRO,HCC 10,5,2,0,76.2,0,38.1,0,101LEELA RESORT4FG AGRO,,,,NO,Not in Master,,,,,,
Sales,7422340,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,PALIYODE,101LEKHA STORE,MILK KL,CASH PAYMENT,26-06-2023,01-08-2025,NSPD9229/25,B2C,SATHEESH R,76.2,1.91,1.91,0,80,0,80,80,0,Cash,4FG AGRO,HCC 10,5,2,0,76.2,0,38.1,0,101LEKHA STORE4FG AGRO,,,,NO,Not in Master,,,,,,
